File,Line,Severity,Score,Type,Current Import,Better Alternative,Reasoning
src\contexts\AppStateContext.tsx,184,low,14,Direct useContext Usage,useContext(AppStateContext),Create custom hook useAppStateContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\contexts\ModalContext.tsx,174,low,14,Direct useContext Usage,useContext(ModalContext),Create custom hook useModalContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\features\ai\gemini-tester\GeminiTesterContext.tsx,441,low,14,Direct useContext Usage,useContext(GeminiTesterContext),Create custom hook useGeminiTesterContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\features\help\HelpSystem.tsx,209,low,14,Direct useContext Usage,useContext(TooltipContext),Create custom hook useTooltipContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\core\useAgentOrchestrator.tsx,512,low,14,Direct useContext Usage,useContext(AgentOrchestratorContext),Create custom hook useAgentOrchestratorContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\core\useAutonomousMode.tsx,456,low,14,Direct useContext Usage,useContext(AutonomousModeContext),Create custom hook useAutonomousModeContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\core\useContextManager.tsx,457,low,14,Direct useContext Usage,useContext(ContextManagerContext),Create custom hook useContextManagerContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\core\useGemini.tsx,529,low,14,Direct useContext Usage,useContext(GeminiContext),Create custom hook useGeminiContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\core\useMcp.tsx,681,low,14,Direct useContext Usage,useContext(McpContext),Create custom hook useMcpContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\core\useModelSelection.tsx,417,low,14,Direct useContext Usage,useContext(ModelSelectionContext),Create custom hook useModelSelectionContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\voice\useSpeechRecognition.tsx,391,low,14,Direct useContext Usage,useContext(SpeechRecognitionContext),Create custom hook useSpeechRecognitionContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
src\hooks\voice\useVoiceCommands.tsx,745,low,14,Direct useContext Usage,useContext(VoiceCommandsContext),Create custom hook useVoiceCommandsContext(),Encapsulate context logic in a custom hook; Improves reusability and testability
